File,Subject,Verb,Object
nd_url_5.txt,il,invité,ministre
nd_url_22.txt,délégation,coréenne,stands
nd_url_28.txt,Laos,Photo,développement
nd_url_10.txt,,Rubriques,
nd_url_27.txt,Chine,Photo,Rencontre
nd_url_26.txt,Elles,décidé,coopération
nd_url_21.txt,entreprises,présenteront,véhicules
nd_url_13.txt,parties,vietnamienne,Manuel
nd_url_4.txt,ministres,vn,amitié
nd_url_3.txt,ministre,nettoyer,zones
nd_url_8.txt,,ouvertes,
nd_url_14.txt,officiers,ministres,coopération
nd_url_11.txt,ministères,Cambodge,s
nd_url_2.txt,qui,ce,conférence
nd_url_24.txt,Ils,ont,travaux
nd_url_1.txt,il,accepté,visite
nd_url_7.txt,Huynh,salué,activités
nd_url_20.txt,pays,vn,Photo
nd_url_17.txt,général,major,forces
nd_url_15.txt,marines,déclaré,coopération
nd_url_12.txt,Unis,donnent,résultats
nd_url_18.txt,parties,aura,activités
nd_url_25.txt,exercice,ministres,mois
nd_url_23.txt,il,…,anniversaire
nd_url_9.txt,général,suggéré,coopération
nd_url_29.txt,Ils,Photo,impressions
nd_url_6.txt,Ils,suggéré,protocole
nd_url_19.txt,cybersécurité,souligné,application
nd_url_30.txt,parties,continuer,se
nd_url_16.txt,parties,proposé,frontières
