Rubriques,NOM,rubrique
Dans,PRP,dans
la,DET:ART,le
matinée,NOM,matinée
du,PRP:det,du
6,NUM,@card@
juillet,NOM,juillet
",",PUN,","
à,PRP,à
Moscou,NAM,Moscou
",",PUN,","
le,DET:ART,le
général,NOM,général
de,PRP,de
corps,NOM,corps
d,ADJ,d
',PUN,'
armée,VER:pper,armer
Hoang,NAM,Hoang
Xuan_Chiên,NAM,Xuan_Chiên
a,VER:pres,avoir
rendu,VER:pper,rendre
une,DET:ART,un
visite,NOM,visite
de,PRP,de
courtoisie,NOM,courtoisie
au,PRP:det,au
ministre,NOM,ministre
russe,ADJ,russe
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
",",PUN,","
le,DET:ART,le
général,ADJ,général
d,NOM,d
’,ADJ,’
armée,VER:pper,armer
Sergueï_Choïgou,NAM,Sergueï_Choïgou
.,SENT,.
Le,DET:ART,le
général,NOM,général
de,PRP,de
corps,NOM,corps
d,ADJ,d
',PUN,'
armée,VER:pper,armer
Hoang,NAM,Hoang
Xuan_Chiên,NAM,Xuan_Chiên
a,VER:pres,avoir
souligné,VER:pper,souligner
que,KON,que
le,DET:ART,le
ministère,NOM,ministère
vietnamien,ADJ,vietnamien
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
attachait,VER:impf,attacher
toujours,ADV,toujours
de,PRP,de
l,NOM,l
’,ADJ,’
importance,NOM,importance
au,PRP:det,au
développement,NOM,développement
de,PRP,de
la,DET:ART,le
coopération,NOM,coopération
avec,PRP,avec
le,DET:ART,le
ministère,NOM,ministère
russe,ADJ,russe
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
",",PUN,","
correspondant,VER:ppre,correspondre
au,PRP:det,au
partenariat,NOM,partenariat
stratégique,ADJ,stratégique
intégral,ADJ,intégral
entre,PRP,entre
le,DET:ART,le
Vietnam,NAM,Vietnam
et,KON,et
la,DET:ART,le
Russie,NAM,Russie
.,SENT,.
De_son,NAM,De_son
côté,NOM,côté
",",PUN,","
le,DET:ART,le
ministre,NOM,ministre
russe,ADJ,russe
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
a,VER:pres,avoir
affirmé,VER:pper,affirmer
attacher,VER:infi,attacher
toujours,ADV,toujours
de,PRP,de
l,NOM,l
',PUN,'
importance,NOM,importance
au,PRP:det,au
partenariat,NOM,partenariat
stratégique,ADJ,stratégique
intégral,ADJ,intégral
entre,PRP,entre
le,DET:ART,le
Vietnam,NAM,Vietnam
et,KON,et
son,DET:POS,son
pays,NOM,pays
et,KON,et
veiller,VER:infi,veiller
régulièrement,ADV,régulièrement
à,PRP,à
la,DET:ART,le
promotion,NOM,promotion
de,PRP,de
la,DET:ART,le
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
défense,NOM,défense
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
",",PUN,","
notamment,ADV,notamment
l,VER:cond,l
’,ADJ,’
échange,NOM,échange
de,PRP,de
délégations,NOM,délégation
de,PRP,de
haut,ADJ,haut
niveau,NOM,niveau
",",PUN,","
la,DET:ART,le
formation,NOM,formation
et,KON,et
la,DET:ART,le
coopération,NOM,coopération
en,PRP,en
termes,NOM,terme
de,PRP,de
technique,NOM,technique
militaire,ADJ,militaire
...,PUN,...
Le,DET:ART,le
ministre,NOM,ministre
russe,ADJ,russe
a,VER:pres,avoir
également,ADV,également
accepté,VER:pper,accepter
l,NOM,l
',PUN,'
invitation,NOM,invitation
à,PRP,à
se,PRO:PER,se
rendre,VER:infi,rendre
au,PRP:det,au
Vietnam,NAM,Vietnam
de,PRP,de
son,DET:POS,son
homologue,NOM,homologue
vietnamien,ADJ,vietnamien
",",PUN,","
Phan_Van_Giang,NAM,Phan_Van_Giang
",",PUN,","
et,KON,et
a,VER:pres,avoir
déclaré,VER:pper,déclarer
qu,VER:pper,qu
',PUN,'
il,PRO:PER,il
organiserait,VER:cond,organiser
une,DET:ART,un
visite,NOM,visite
dès,PRP,dès
que,ADV,que
possible,ADJ,possible
.,SENT,.
