Rubriques,NOM,rubrique
Lors,ADV,lors
de,PRP,de
l,NOM,l
’,ADJ,’
entretien,NOM,entretien
du,PRP:det,du
19,NUM,@card@
juin,NOM,juin
",",PUN,","
le,DET:ART,le
ministre,NOM,ministre
Rajnath_Singh,NAM,Rajnath_Singh
a,VER:pres,avoir
affirmé,VER:pper,affirmer
que,KON,que
le,DET:ART,le
Vietnam,NAM,Vietnam
était,VER:impf,être
un,DET:ART,un
partenaire,NOM,partenaire
important,ADJ,important
dans,PRP,dans
la,DET:ART,le
politique,ADJ,politique
indienne,ADJ,indien
d,NOM,d
',PUN,'
orientation,NOM,orientation
vers,PRP,vers
l,NOM,l
',PUN,'
Est,NOM,Est
.,SENT,.
Ce,PRO:DEM,ce
pays,NOM,pays
souhaite,VER:pres,souhaiter
renforcer,VER:infi,renforcer
la,DET:ART,le
coopération,NOM,coopération
intégrale,ADJ,intégral
avec,PRP,avec
le,DET:ART,le
Vietnam,NAM,Vietnam
",",PUN,","
notamment,ADV,notamment
dans,PRP,dans
la,DET:ART,le
défense,NOM,défense
",",PUN,","
a,VER:pres,avoir
souligné,VER:pper,souligner
le,DET:ART,le
ministre,NOM,ministre
indien,ADJ,indien
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
.,SENT,.
Photo,NOM,photo
:,PUN,:
qdnd,ADJ,qdnd
.,SENT,.
vn,NOM,vn
