La,DET:ART,le
victoire,NOM,victoire
de,PRP,de
Diên_Biên,NAM,Diên_Biên
Phu,NAM,Phu
qui,PRO:REL,qui
sera,VER:futu,être
commémorée,VER:pper,commémorer
le,DET:ART,le
7,NUM,@card@
mai,NOM,mai
prochain,ADJ,prochain
au,PRP:det,au
Vietnam,NAM,Vietnam
a,VER:pres,avoir
laissé,VER:pper,laisser
des,PRP:det,du
leçons,NOM,leçon
qui,PRO:REL,qui
gardent,VER:pres,garder
toutes,PRO:IND,tout
leurs,DET:POS,leur
valeurs,NOM,valeur
pour,PRP,pour
l,NOM,l
’,ADJ,’
œuvre,VER:pres,œuvrer
d,VER:pper,d
’,ADJ,’
édification,NOM,édification
et,KON,et
de,PRP,de
défense,NOM,défense
nationales,ADJ,national
des,PRP:det,du
trois,NUM,trois
pays,NOM,pays
d,VER:futu,d
’,NAM,’
Indochine,NAM,Indochine
",",PUN,","
a,VER:pres,avoir
déclaré,VER:pper,déclarer
l,VER:pper,l
’,ADJ,’
ambassadeur,NOM,ambassadeur
du,PRP:det,du
Vietnam,NAM,Vietnam
au,PRP:det,au
Laos,NAM,Laos
",",PUN,","
Nguyên,NAM,Nguyên
Ba_Hung,NAM,Ba_Hung
.,SENT,.
Hanoi,NAM,Hanoi
(,PUN,(
VNA,NAM,VNA
),PUN,)
–,ABR,–
La,DET:ART,le
victoire,NOM,victoire
de,PRP,de
Diên_Biên,NAM,Diên_Biên
Phu,NAM,Phu
qui,PRO:REL,qui
sera,VER:futu,être
commémorée,VER:pper,commémorer
le,DET:ART,le
7,NUM,@card@
mai,NOM,mai
prochain,ADJ,prochain
au,PRP:det,au
Vietnam,NAM,Vietnam
a,VER:pres,avoir
laissé,VER:pper,laisser
des,PRP:det,du
leçons,NOM,leçon
qui,PRO:REL,qui
gardent,VER:pres,garder
toutes,PRO:IND,tout
leurs,DET:POS,leur
valeurs,NOM,valeur
pour,PRP,pour
l,NOM,l
’,ADJ,’
œuvre,VER:pres,œuvrer
d,VER:pper,d
’,ADJ,’
édification,NOM,édification
et,KON,et
de,PRP,de
défense,NOM,défense
nationales,ADJ,national
des,PRP:det,du
trois,NUM,trois
pays,NOM,pays
d,VER:futu,d
’,NAM,’
Indochine,NAM,Indochine
",",PUN,","
a,VER:pres,avoir
déclaré,VER:pper,déclarer
l,VER:pper,l
’,ADJ,’
ambassadeur,NOM,ambassadeur
du,PRP:det,du
Vietnam,NAM,Vietnam
au,PRP:det,au
Laos,NAM,Laos
",",PUN,","
Nguyên,NAM,Nguyên
Ba_Hung,NAM,Ba_Hung
.,SENT,.
Sept,NUM,sept
décennies,NOM,décennie
se,PRO:PER,se
sont,VER:pres,être
écoulées,VER:pper,écouler
",",PUN,","
ces,PRO:DEM,ce
leçons,NOM,leçon
sur,PRP,sur
la,DET:ART,le
tradition,NOM,tradition
d,VER:futu,d
’,ADJ,’
amitié,NOM,amitié
et,KON,et
de,PRP,de
solidarité,NOM,solidarité
entre,PRP,entre
les,DET:ART,le
peuples,NOM,peuple
des,PRP:det,du
trois,NUM,trois
pays,NOM,pays
d,VER:futu,d
’,NAM,’
Indochine,NAM,Indochine
",",PUN,","
notamment,ADV,notamment
entre,PRP,entre
le,DET:ART,le
Vietnam,NAM,Vietnam
et,KON,et
le,DET:ART,le
Laos,NOM,Laos
",",PUN,","
gardent,VER:pres,garder
toutes,PRO:IND,tout
leurs,DET:POS,leur
valeurs,NOM,valeur
",",PUN,","
a,VER:pres,avoir
-,PUN,-
t,VER:subi,t
-,PUN,-
indiqué,VER:pper,indiquer
à,PRP,à
la,DET:ART,le
presse,NOM,presse
à,PRP,à
l,NOM,l
’,ADJ,’
occasion,NOM,occasion
du,PRP:det,du
70e,ADJ,70e
anniversaire,NOM,anniversaire
de,PRP,de
la,DET:ART,le
victoire,NOM,victoire
décisive,ADJ,décisif
qui,PRO:REL,qui
"""",PUN:cit,""""
résonna,VER:simp,résonner
à,PRP,à
travers,NOM,travers
les,DET:ART,le
cinq,NUM,cinq
continents,NOM,continent
et,KON,et
ébranla,VER:simp,ébranler
le,DET:ART,le
monde,NOM,monde
"""",PUN:cit,""""
.,SENT,.
Le,DET:ART,le
21,NUM,@card@
juillet,NOM,juillet
1954,NUM,@card@
",",PUN,","
les,DET:ART,le
Accords,NOM,accord
de,PRP,de
Genève,NAM,Genève
sur,PRP,sur
la,DET:ART,le
cessation,NOM,cessation
des,PRP:det,du
hostilités,NOM,hostilité
au,PRP:det,au
Vietnam,NAM,Vietnam
",",PUN,","
au,PRP:det,au
Laos,NOM,Laos
et,KON,et
au,PRP:det,au
Cambodge,NAM,Cambodge
ont,VER:pres,avoir
été,VER:pper,être
signés,VER:pper,signer
",",PUN,","
par,PRP,par
lesquels,PRO:REL,lequel
la,DET:ART,le
France,NAM,France
et,KON,et
les,DET:ART,le
parties,NOM,partie
ayant,VER:ppre,avoir
pris,VER:pper,prendre
part,NOM,part
à,PRP,à
la,DET:ART,le
Conférence,NOM,conférence
de,PRP,de
Genève,NAM,Genève
sur,PRP,sur
l,NOM,l
’,NAM,’
Indochine,NAM,Indochine
se,PRO:PER,se
sont,VER:pres,être
engagés,VER:pper,engager
à,PRP,à
respecter,VER:infi,respecter
l,VER:futu,l
’,ADJ,’
indépendance,NOM,indépendance
",",PUN,","
la,DET:ART,le
souveraineté,NOM,souveraineté
",",PUN,","
l,VER:simp,l
’,ADJ,’
unité,NOM,unité
et,KON,et
l,VER:simp,l
’,ADJ,’
intégrité,NOM,intégrité
territoriales,ADJ,territorial
du,PRP:det,du
Vietnam,NAM,Vietnam
",",PUN,","
du,PRP:det,du
Laos,NOM,Laos
et,KON,et
du,PRP:det,du
Cambodge,NAM,Cambodge
",",PUN,","
a,VER:pres,avoir
rappelé,VER:pper,rappeler
le,DET:ART,le
diplomate,NOM,diplomate
.,SENT,.
Il,PRO:PER,il
s,VER:futu,s
’,NAM,’
agit,VER:pres,agir
là,ADV,là
d,VER:cond,d
’,ABR,’
une,DET:ART,un
base,NOM,base
juridique,ADJ,juridique
internationale,ADJ,international
très,ADV,très
importante,ADJ,important
permettant,VER:ppre,permettre
aux,PRP:det,au
peuples,NOM,peuple
des,PRP:det,du
trois,NUM,trois
pays,NOM,pays
d,VER:futu,d
’,NAM,’
Indochine,NAM,Indochine
d,VER:futu,d
’,ABR,’
avancer,VER:infi,avancer
progressivement,ADV,progressivement
vers,PRP,vers
l,NOM,l
’,ADJ,’
indépendance,NOM,indépendance
et,KON,et
d,NOM,d
’,ADJ,’
achever,VER:infi,achever
la,DET:ART,le
cause,NOM,cause
de,PRP,de
l,NOM,l
’,ABR,’
unification,NOM,unification
nationale,ADJ,national
de,PRP,de
chaque,PRO:IND,chaque
pays,NOM,pays
",",PUN,","
a,VER:pres,avoir
-,PUN,-
t,VER:subi,t
-,PUN,-
il,PRO:PER,il
indiqué,VER:pper,indiquer
.,SENT,.
La,DET:ART,le
victoire,NOM,victoire
de,PRP,de
Diên_Biên_Phu_a,NAM,Diên_Biên_Phu_a
non,ADV,non
seulement,ADV,seulement
apporté,VER:pper,apporter
de,PRP,de
grandes,ADJ,grand
valeurs,NOM,valeur
dans,PRP,dans
la,DET:ART,le
lutte,NOM,lutte
de,PRP,de
libération,NOM,libération
nationale,ADJ,national
",",PUN,","
mais,KON,mais
a,VER:pres,avoir
également,ADV,également
eu,VER:pper,avoir
une,DET:ART,un
profonde,ADJ,profond
signification,NOM,signification
dans,PRP,dans
l,NOM,l
’,ADJ,’
œuvre,VER:pres,œuvrer
d,VER:pper,d
’,ADJ,’
édification,NOM,édification
et,KON,et
de,PRP,de
défense,NOM,défense
de,PRP,de
la,DET:ART,le
la,DET:ART,le
Patrie,NOM,patrie
",",PUN,","
a,VER:pres,avoir
-,PUN,-
t,VER:subi,t
-,PUN,-
il,PRO:PER,il
déclaré,VER:pper,déclarer
.,SENT,.
