Lorsque	KON	lorsque
j’	NOM	<unknown>
avais	VER:impf	avoir
six	NUM	six
ans	NOM	an
j’	ADJ	<unknown>
ai	VER:pres	avoir
vu	VER:pper	voir
,	PUN	,
une	DET:ART	un
fois	NOM	fois
,	PUN	,
une	DET:ART	un
magnifique	ADJ	magnifique
image	NOM	image
,	PUN	,
dans	PRP	dans
un	DET:ART	un
livre	NOM	livre
sur	PRP	sur
la	DET:ART	le
Forêt	NOM	forêt
Vierge	ADJ	vierge
qui	PRO:REL	qui
s’	NOM	<unknown>
appelait	VER:impf	appeler
«	PUN:cit	«
Histoires	NOM	histoire
Vécues	ADJ	vécu
»	PUN:cit	»
.	SENT	.
Ça	PRO:DEM	cela
représentait	VER:impf	représenter
un	DET:ART	un
serpent	NOM	serpent
boa	NOM	boa
qui	PRO:REL	qui
avalait	VER:impf	avaler
un	DET:ART	un
fauve	NOM	fauve
.	SENT	.
Voilà	ADV	voilà
la	DET:ART	le
copie	NOM	copie
du	PRP:det	du
dessin	NOM	dessin
.	SENT	.
