Nom du Fichier,Sujet,Verbe,COD
vnp_url_434.csv,Bộ_trưởng,quyết_định,tính_mạng
vnp_url_434.csv,hong,Theo,mối
vnp_url_434.csv,hàng_loạt,Thêm,sự
vnp_url_434.csv,chính_phủ,quyết_định,cuộc
vnp_url_434.csv,chính_phủ,cảnh_báo,điều_kiện
vnp_url_434.csv,giáo_sư,cảnh_báo,hoạt_động
vnp_url_434.csv,giáo_sư,tuyên_bố,phản_ứng
vnp_url_434.csv,việc,cho,nguy_cơ
vnp_url_434.csv,Động_thái,được,bác_sĩ
vnp_url_434.csv,bác_sỹ,chiếm,bệnh_nhân
vnp_url_434.csv,họ,nhằm,công_việc
vnp_url_434.csv,Chính_phủ,huy_động,bệnh_nhân
vnp_url_434.csv,hong,cho,cuộc
vnp_url_434.csv,Bộ,cho,bác_sỹ
vnp_url_434.csv,Chính_phủ,mở_rộng,điều_kiện
vnp_url_434.csv,chính_phủ,kiên_quyết,hệ_thống
vnp_url_434.csv,người,Tính,yêu_cầu
vnp_url_434.csv,Bộ,mở_đường_dây_nóng,bác_sĩ
vnp_url_434.csv,giáo_sư,tham_gia,chỉ_tiêu
vnp_url_434.csv,giáo_sư,tham_gia,chỉ_tiêu
vnp_url_434.csv,Chính_phủ,cho,sự
vnp_url_434.csv,Chính_quyền,nỗ_lực,sức_khoẻ
vnp_url_497.csv,Ban,tổ_chức,chức
vnp_url_497.csv,Ban,Phát_biểu,nhiệm_vụ
vnp_url_497.csv,Ban,tin_tưởng,giao_phó
vnp_url_497.csv,Bí_thư,mong_muốn,đời_sống
vnp_url_497.csv,ông,cảm_ơn,vị_trí
vnp_url_497.csv,Bí_thư,khẳng_định,giao_phó
vnp_url_189.csv,Thủ_tướng,có,hình_ảnh
vnp_url_189.csv,Chuyến,thành_công,Australia
vnp_url_189.csv,Thủ_tướng,phải,hình_ảnh
vnp_url_189.csv,bên,thành_công,đối_tác
vnp_url_189.csv,hiệu_quả,thông_qua,an_ninh
vnp_url_189.csv,đó,cho,chính_trị
vnp_url_189.csv,lợi_ích,lên,mối
vnp_url_189.csv,Chủ_tịch,gặp,Chủ_tịch
vnp_url_189.csv,Diễn_đàn,dự,khoa_học
