Nom du Fichier,Sujet,Verbe,COD
btt_url_475.csv,Nhà_chức_trách,yêu_cầu,câu
btt_url_475.csv,trong,nêu,sự
btt_url_475.csv,trong,yêu_cầu,tiến_trình
btt_url_475.csv,nước,đưa,AI
btt_url_475.csv,Ấn_Độ,thắt,nước
btt_url_20.csv,quân_đội,bị,đà
btt_url_20.csv,phía,trích_dẫn,khu_vực
btt_url_20.csv,nỗ_lực,duy_trì,viện_trợ
btt_url_20.csv,tình_hình,nói,kiểu
btt_url_20.csv,Việc,Nghiên_cứu,lợi_ích
btt_url_469.csv,khách_sạn,Theo,tên
btt_url_469.csv,việc,nói,thời_tiết
btt_url_469.csv,tổng,áp_dụng,chính_sách
btt_url_469.csv,Gói,áp_dụng,đồng
btt_url_469.csv,cách,trở_nên,chính_sách
btt_url_469.csv,ông,Theo,Nhà_máy
btt_url_258.csv,băng_nhóm,tiếp_tục,ông
btt_url_258.csv,Băng_nhóm,phóng_hoả,đồn
btt_url_258.csv,trên,cho,thiệt_hại
btt_url_258.csv,băng_nhóm,đốt,xe
btt_url_258.csv,Hội_đồng,họp,quan_ngại
btt_url_258.csv,Thủ_tướng,có,ảnh_hưởng
btt_url_258.csv,nhà_tù,kể,cuộc
btt_url_258.csv,Chính_phủ,người,tù_nhân
btt_url_258.csv,tích_trữ,đóng_cửa,công_dân
btt_url_258.csv,Bahamas,phần_lớn,khu_vực
btt_url_258.csv,quốc_gia,tăng_cường,chuyến
btt_url_258.csv,Cuba,lên,công_dân
btt_url_258.csv,người,đầy,làn_sóng
btt_url_258.csv,Tình_trạng,khiến,nhiên_liệu
btt_url_431.csv,số_liệu,Theo,nhiệt_độ
btt_url_431.csv,điểm,ghi_nhận,mức
btt_url_431.csv,khoảng,là,hướng
btt_url_431.csv,quần_đảo,dẫn,nhiệt_độ
btt_url_431.csv,đây,cho,đợt
btt_url_126.csv,Hàn_Quốc,cho,giải_pháp
btt_url_126.csv,họ,tiến_hành,giấy_phép
btt_url_126.csv,Hàn_Quốc,Kể,giấy_phép
btt_url_126.csv,bác_sĩ,nộp,đơn
btt_url_126.csv,biện_pháp,khiến,giáo_sư
btt_url_126.csv,nhóm,họp,kết_quả
btt_url_126.csv,cơ_quan,tăng,hô_hấp
btt_url_126.csv,bệnh_viện,mở_cửa,phòng
btt_url_126.csv,Bộ,triển_khai,trọng_trách
btt_url_126.csv,Việc,xin,ca
btt_url_126.csv,việc,cho,chỉ_tiêu
btt_url_126.csv,bác_sĩ,giải_quyết,mức
btt_url_233.csv,đối_tượng,bị,pháp_luật
btt_url_233.csv,Sapo,cho,tổ_chức
btt_url_233.csv,Cơ_quan,xác_nhận,việc
btt_url_233.csv,cảnh_sát,khi,toà
btt_url_233.csv,lực_lượng,sử_dụng,bom
btt_url_250.csv,Thủ_tướng,ca_ngợi,tính
btt_url_250.csv,Tổng_Thư_ký,ca_ngợi,an_ninh
btt_url_278.csv,ECB,giữ,dự_báo
btt_url_278.csv,dữ_liệu,cho,lãi_suất
btt_url_278.csv,tiền_lương,giảm,phần
btt_url_278.csv,phần,khẳng_định,quyết_sách
btt_url_278.csv,ECB,Trong,lạm_phát
btt_url_278.csv,thay_vì,đồng_nghĩa,mục_tiêu
btt_url_278.csv,chi_phí,là,chi_phí
btt_url_278.csv,chỉ_số,lạm_phát,tiền_lương
btt_url_278.csv,chỉ_số,tiếp_tục,mức
btt_url_76.csv,con,có,trở_ngại
btt_url_76.csv,bột,kỳ_vọng,lăng
btt_url_76.csv,Open_Arms,từ_chối,tình_hình
btt_url_76.csv,công_việc,nói,bến
btt_url_76.csv,tàu,cho,cảng
btt_url_76.csv,cơ_sở,nói,đi
btt_url_76.csv,Sự,là,phương_tiện
btt_url_76.csv,bị_cáo,buộc,điều_kiện
btt_url_76.csv,vùng,khiến,hoạt_động
btt_url_76.csv,người,cho,nước
btt_url_76.csv,trật_tự,nhằm,bộ_máy
btt_url_76.csv,họ,cho,hàng_hoá
btt_url_76.csv,đoàn,viện_trợ,điều_kiện
btt_url_76.csv,lực_lượng,thiệt_mạng,hàng
btt_url_76.csv,Quân_đội,cho,nạn_nhân
btt_url_76.csv,Giới_chức,phủ_nhận,điều
btt_url_76.csv,vết_thương,nói,vết
btt_url_76.csv,Việc,phản_ánh,nỗi
btt_url_76.csv,Tel_Aviv,cho,viện_trợ
btt_url_76.csv,Chính_quyền,phủ_nhận,cáo_buộc
btt_url_76.csv,“,tuyên_bố,thường_dân
btt_url_76.csv,Ông,cho_hay,viện_trợ
