Nom du Fichier,Sujet,Verbe,COD
nd_url_278.csv,S,đánh_dấu,kỷ_lục
nd_url_278.csv,sự_kiện,cho,điểm
nd_url_278.csv,Tổng_số,lên,học_sinh
nd_url_278.csv,ông,Phát_biểu,vị_thế
nd_url_278.csv,đơn_vị,tiếp_tục,tầm_vóc
nd_url_278.csv,tầm_vóc,cho,khát_vọng
nd_url_278.csv,TH,là,chuỗi
nd_url_278.csv,tập_đoàn,là,bộ
nd_url_278.csv,Đó,là,thông_tin
nd_url_278.csv,ông,thấu_hiểu,đức
nd_url_278.csv,Thương_hiệu,tiếp_tục,nhà_tài_trợ
nd_url_278.csv,Sản_phẩm,là,nguồn
nd_url_278.csv,Tập_đoàn,tiếp_sức,bạn
nd_url_278.csv,S,tiếp_tục,hoạt_động
nd_url_278.csv,Quỹ_Vì_Tầm,cho,bệnh_nhi
nd_url_278.csv,vận_động_viên,tiếp_tục,giải
nd_url_278.csv,Đây,là,kết_quả
nd_url_278.csv,số,cho,hoàn_cảnh
nd_url_278.csv,S,gồm,sinh_viên
nd_url_278.csv,Ban,tương_ứng,vận_động_viên
nd_url_436.csv,Uỷ_ban_nhân_dân,Theo,đồng
nd_url_70.csv,tờ,đưa,một
nd_url_70.csv,Tờ,miêu_tả,vẻ
nd_url_70.csv,du_khách,giới_thiệu,phong_cảnh
nd_url_70.csv,du_khách,tìm,đồ_ăn
nd_url_70.csv,Điều,là,thị_trấn
nd_url_70.csv,du_khách,Lên,mình
nd_url_160.csv,Trung_Quốc,bế_mạc,nhân_dân
nd_url_160.csv,đại_sứ,đại_diện,phiên
nd_url_160.csv,uỷ_viên,Phát_biểu,mục_tiêu
nd_url_160.csv,nhiệm_vụ,Nhấn_mạnh,đất_nước
nd_url_160.csv,đại_biểu,thông_qua,đề_án
nd_url_97.csv,Uỷ_ban_nhân_dân,Phát_biểu,bản_đồ
nd_url_97.csv,diện_tích,có,tổng
nd_url_97.csv,Điều_kiện,phù_hợp,giá_trị
nd_url_97.csv,cây_công_nghiệp,Theo,thu_nhập
nd_url_97.csv,việc,còn,căn_cứ
nd_url_97.csv,cây_trồng,bị,hiệu_quả
nd_url_97.csv,Nông_thôn,hạn_chế,cơ_cấu
nd_url_97.csv,bản_đồ,Theo,ha
nd_url_97.csv,Đây,là,nông_nghiệp
nd_url_97.csv,Kết_quả,xác_định,nông_nghiệp
nd_url_97.csv,Chủ_tịch,là,nền
nd_url_97.csv,Sở,mong_muốn,doanh_nghiệp
nd_url_97.csv,đơn_vị,đề_nghị,sản_phẩm
nd_url_97.csv,gar,là,bản_đồ
nd_url_266.csv,mưa,cho,người
nd_url_266.csv,Mưa,xảy,ngôi
nd_url_266.csv,đường_sá,ứng_phó,khó_khăn
nd_url_266.csv,người,tập_trung,nhu_yếu_phẩm
nd_url_266.csv,con,kéo_dài,50m
nd_url_266.csv,mưa,nghiêm_trọng,áp_lực
nd_url_266.csv,Ông,cảnh_báo,thiệt_hại
nd_url_266.csv,cơ_quan_chức_năng,nỗ_lực,về
nd_url_489.csv,Truyền_thông,đưa,lính
nd_url_489.csv,vụ_việc,cứu_hoả,Tehran
nd_url_489.csv,Lính,được,điều
nd_url_489.csv,toà,gây,phần
nd_url_489.csv,vụ,Giới_chức,lượng
nd_url_489.csv,ông,tổ_chức,2
nd_url_337.csv,người,mở,nhân_vật
nd_url_337.csv,Lễ,kiệu,Đức
nd_url_337.csv,người,cho,cuộc_đời
nd_url_337.csv,nhân_dân,Để,đền
nd_url_337.csv,Bằng,đón_nhận,cây
nd_url_337.csv,Bằng,Trao_Quyết_định,Cây
nd_url_337.csv,Lễ_hội,là,giá_trị
nd_url_337.csv,gia_đình,giới_thiệu,lòng
nd_url_337.csv,bịt_mắt,Trong,soạn
nd_url_94.csv,Uỷ_ban_nhân_dân,Theo,đồng
nd_url_83.csv,Công_điện,nêu,vụ
nd_url_83.csv,Đây,là,số_lượng
nd_url_83.csv,Thủ_tướng,có,ý_kiến
nd_url_83.csv,nòng_cốt,Hoan_nghênh,thiệt_hại
nd_url_83.csv,kỹ_năng,tiếp_tục,lễ_hội
nd_url_69.csv,Thứ_trưởng,hoan_nghênh,chiến_lược
nd_url_69.csv,Việt_Nam,đề_nghị,đoàn
nd_url_69.csv,Thứ_trưởng,tiến_triển,dự_án
nd_url_69.csv,bên,đề_nghị,điều_kiện
nd_url_69.csv,Việt_Nam,bày_tỏ,chính_sách
nd_url_69.csv,Bộ,tiếp_tục,chuyến
nd_url_69.csv,bên,trao_đổi,quốc_tế
nd_url_371.csv,Phóng_viên,cho,kết_quả
nd_url_371.csv,đây,nói,ý_nghĩa
nd_url_371.csv,đối_tác,cho,vai_trò
nd_url_371.csv,lĩnh_vực,đề_cao,thương_mại
nd_url_371.csv,an_ninh,phát_huy,nhân_dân
nd_url_371.csv,bên,đề_cao,Công_ước
nd_url_371.csv,Hội_nghị,thông_qua,chiến_lược
nd_url_371.csv,Phóng_viên,cho,sự
nd_url_371.csv,Việt_Nam,tham_gia,văn_kiện
nd_url_371.csv,nước,phát_biểu,quan_hệ
nd_url_371.csv,ba,là,ba
nd_url_371.csv,lĩnh_vực,đột_phá,bán_dẫn
nd_url_371.csv,Ba,tăng_cường,quan_hệ
nd_url_371.csv,Ba_cùng,gồm,vai_trò
nd_url_371.csv,hiệu_quả,góp_phần,thực_chất
nd_url_371.csv,Thủ_tướng,tận_dụng,Lãnh_đạo
nd_url_371.csv,đối_tác,đánh_giá,nhân_dân
nd_url_371.csv,Bộ_trưởng,sau,Australia
nd_url_371.csv,chủ_trương,là,quan_hệ
nd_url_371.csv,nước,diễn,quan_hệ
nd_url_371.csv,chuyến,diễn,quan_hệ
nd_url_371.csv,Đây,là,chuyến
nd_url_371.csv,Chính_phủ,dành,nghi_lễ
nd_url_371.csv,điểm,là,Chiến_lược
nd_url_371.csv,Thủ_tướng,nhất_trí,an_ninh
nd_url_371.csv,Chủ_tịch,hội_kiến,Chủ_tịch
nd_url_371.csv,Lễ,dự,khoa_học
nd_url_371.csv,Thủ_tướng,tiếp,đại_diện
nd_url_371.csv,trường,ký,thoả_thuận
nd_url_371.csv,Thủ_tướng,có,lãnh_đạo
nd_url_371.csv,bên,tăng_cường,số
nd_url_371.csv,cam_kết,thống_nhất,USD
nd_url_371.csv,bộ,ký_kết,văn_kiện
nd_url_371.csv,Đây,là,Chiến_lược
nd_url_371.csv,Australia,đánh_giá,vị_thế
nd_url_215.csv,nước,chuyển,thành_tựu
nd_url_215.csv,chương_trình,cố_gắng,kinh_tế
nd_url_215.csv,Đồng_chí,đề_nghị,an_ninh
nd_url_215.csv,việc,nhấn_mạnh,ý_nghĩa
nd_url_215.csv,lợi_ích,làm,mình
nd_url_215.csv,Đồng_chí,dẫn_đầu,Thủ_tướng
nd_url_215.csv,kết_quả,thông_tin,một
nd_url_215.csv,thời_gian,cho,hiệu_quả
nd_url_215.csv,đồng_chí,có,Trưởng_đoàn
nd_url_163.csv,cụ,sinh,cơ_quan_chức_năng
nd_url_163.csv,cụ,được,người
nd_url_163.csv,cụ,cho,con_cháu
nd_url_163.csv,cụ,đón,xe_khách
nd_url_163.csv,cụ,Kể,quê
nd_url_163.csv,Cụ,có,con
nd_url_163.csv,thọ,cho,chất_lượng
nd_url_163.csv,chính_quyền,cần,trường_hợp
nd_url_163.csv,Bí_thư,trao,cụ
nd_url_163.csv,Chủ_tịch,trao,thọ
nd_url_163.csv,Giám_đốc,cho,cụ
nd_url_107.csv,S,đánh_dấu,kỷ_lục
nd_url_107.csv,sự_kiện,cho,điểm
nd_url_107.csv,Tổng_số,lên,học_sinh
nd_url_107.csv,ông,Phát_biểu,vị_thế
nd_url_107.csv,đơn_vị,tiếp_tục,tầm_vóc
nd_url_107.csv,tầm_vóc,cho,khát_vọng
nd_url_107.csv,TH,là,chuỗi
nd_url_107.csv,tập_đoàn,là,bộ
nd_url_107.csv,Đó,là,thông_tin
nd_url_107.csv,ông,thấu_hiểu,đức
nd_url_107.csv,Thương_hiệu,tiếp_tục,nhà_tài_trợ
nd_url_107.csv,Sản_phẩm,là,nguồn
nd_url_107.csv,Tập_đoàn,tiếp_sức,bạn
nd_url_107.csv,S,tiếp_tục,hoạt_động
nd_url_107.csv,Quỹ_Vì_Tầm,cho,bệnh_nhi
nd_url_107.csv,vận_động_viên,tiếp_tục,giải
nd_url_107.csv,Đây,là,kết_quả
nd_url_107.csv,số,cho,hoàn_cảnh
nd_url_107.csv,S,gồm,sinh_viên
nd_url_107.csv,Ban,tương_ứng,vận_động_viên
nd_url_430.csv,GDP,Theo,báo_cáo
nd_url_430.csv,Mức,tính,vị_trí
nd_url_430.csv,Chính_phủ,đánh_giá,nền
nd_url_430.csv,giá,đủ,áp_lực
nd_url_430.csv,nhà_kinh_tế,theo_dõi,lao_động
nd_url_430.csv,Nhu_cầu,là,tiền_lương
nd_url_430.csv,BoJ,cho,mục_tiêu
nd_url_338.csv,Trung_ương,Tham_dự,lãnh_đạo
nd_url_338.csv,đại_biểu,phát_huy,tinh_thần
nd_url_338.csv,Đại_hội,thống_nhất,Hội
nd_url_338.csv,biểu_quyết,đánh_giá,Đại_hội
nd_url_338.csv,Đại_hội,thống_nhất,công_tác
nd_url_338.csv,Ban_Chấp_hành,hiệp_thương,bầu
nd_url_338.csv,Anh,được,Chủ_tịch
