Nom du Fichier,Sujet,Verbe,COD
nd_url_278.csv,cơ_quan,xin,thông_tin
nd_url_278.csv,cấp,Báo_cáo,đề_tài
nd_url_278.csv,chỉ_tiêu,Triển_khai,chủng_loại
nd_url_278.csv,Thiếu_tướng,báo_cáo,kết_quả
nd_url_278.csv,cơ_quan,Theo,vị_trí
nd_url_278.csv,báo_chí,Phát_biểu,hiệu_quả
nd_url_278.csv,đại_biểu,tiếp_tục,hiệu_quả
nd_url_278.csv,nhiệm_vụ,mong_muốn,việc
nd_url_278.csv,Trung_tướng,trao,thành_tích
nd_url_470.csv,cơ_quan,xin,thông_tin
nd_url_470.csv,tình_cảm,Thay_mặt,sĩ_quan
nd_url_470.csv,Đảng,gởi,giá_trị
nd_url_470.csv,Chủ_tịch,bày_tỏ,Tết
nd_url_470.csv,Chủ_tịch,đến,đoàn
nd_url_470.csv,đoàn,tặng,quà
nd_url_470.csv,Lãnh_đạo,tặng,phần
nd_url_470.csv,Lãnh_đạo,trao,quà
nd_url_436.csv,cơ_quan,xin,thông_tin
nd_url_436.csv,người,Phát_biểu,cấp
nd_url_436.csv,Việc,dự_báo,nhiệm_kỳ
nd_url_436.csv,cán_bộ,thực_hiện,phẩm_chất
nd_url_70.csv,cơ_quan,xin,thông_tin
nd_url_70.csv,Thành_phố,Phát_biểu,quốc_phòng
nd_url_70.csv,“,đồng_thuận,Quân_đội
nd_url_70.csv,công_tác,Phát_biểu,điểm
nd_url_70.csv,hiệu_quả,yêu_cầu,tình_hình
nd_url_70.csv,Thượng_tướng,biểu_dương,Nghị_quyết
nd_url_70.csv,đại_biểu,trình_bày,quốc_phòng
nd_url_70.csv,hiệu_quả,tiếp_tục,tiềm_lực
nd_url_70.csv,đại_diện,trao,Nghị_quyết
nd_url_160.csv,Binh_đoàn,Nhận_thức,quốc_phòng
nd_url_160.csv,lao_động,sử_dụng,cụm
nd_url_160.csv,Binh_đoàn,biến,rừng
nd_url_160.csv,thu_nhập,cho,việc_làm
nd_url_160.csv,huyện,cho,biên_giới
nd_url_160.csv,xã,là,địa_bàn
nd_url_160.csv,nhân_dân,tuyên_truyền,“
nd_url_160.csv,người,triển_khai,thế_trận
nd_url_160.csv,“,thực_hiện,chính_sách_xã_hội
nd_url_160.csv,bò,trao,hộ
nd_url_160.csv,gia_đình,cho,con_giống
nd_url_160.csv,bò,phổ_biến,yên_tâm
nd_url_160.csv,Chủ_tịch,được,Tổ_quốc
nd_url_160.csv,đơn_vị,nhận,thành_tích
nd_url_160.csv,đơn_vị,hỗ_trợ,chân
nd_url_160.csv,cháu,Đáng,học_sinh
nd_url_521.csv,Cấm,có,sự
nd_url_97.csv,cơ_quan,xin,thông_tin
nd_url_97.csv,tổng,dự_kiến,Krone
