Nom du Fichier,Sujet,Verbe,COD
vnp_url_434.csv,Thủ_tướng,đề_nghị,đoàn
vnp_url_434.csv,Thủ_tướng,tiếp,hoạt_động
vnp_url_434.csv,Việt_Nam,Đánh_giá,bạn
vnp_url_434.csv,sự,Chia_sẻ,sự
vnp_url_434.csv,Thủ_tướng,Nhắc,Thủ_tướng
vnp_url_434.csv,Thủ_tướng,vui_mừng,COVID
vnp_url_434.csv,Pháp,Khẳng_định,thời_gian
vnp_url_434.csv,Thủ_tướng,đưa,cấp
vnp_url_434.csv,kinh_tế,đề_nghị,tính
vnp_url_434.csv,EC,đề_nghị,IUU
vnp_url_434.csv,thoả_thuận,đề_nghị,người
vnp_url_434.csv,phía,đề_nghị,tài_liệu
vnp_url_434.csv,phía,Cảm_ơn,tinh_thần
vnp_url_434.csv,bên,nêu,tương_lai
vnp_url_434.csv,ngài,cho,thực_chất
vnp_url_434.csv,bên,Chia_sẻ,Chiến_lược
vnp_url_434.csv,bên,nhấn_mạnh,Công_ước
vnp_url_434.csv,Bộ_trưởng,chủ_trì,Việt_Nam
vnp_url_434.csv,Quân_đội,cho,nội_dung
vnp_url_434.csv,Bộ_trưởng,Kết_thúc,thư
vnp_url_434.csv,Việt_Nam,là,hàng_không
vnp_url_497.csv,Đoàn,đến,Anh_hùng
vnp_url_497.csv,thành_kính,bày_tỏ,công_lao
vnp_url_497.csv,Nhà_nước,Kỷ_niệm,liệt_sỹ
vnp_url_497.csv,Đoàn,đặt_vòng,Anh_hùng
vnp_url_189.csv,người_dân,niệm,sự_kiện
vnp_url_189.csv,không_khí,có,mảnh
vnp_url_189.csv,đoàn,đổ,lực_lượng
vnp_url_189.csv,Người_dân,chọn,kỷ_niệm
vnp_url_189.csv,tay,mặc,đoàn
vnp_url_189.csv,lễ,thu_hút,người_dân
vnp_url_189.csv,ông,phấn_khởi,khối
vnp_url_189.csv,tôi,cao,niềm
vnp_url_189.csv,cựu_chiến_binh,Để,cảm_giác
vnp_url_189.csv,chị,bỏ,diễu_binh
vnp_url_189.csv,lực_lượng,bắt_đầu,xe
vnp_url_189.csv,Người_dân,phủ,khối
vnp_url_189.csv,trời,bắt_đầu,sự
vnp_url_189.csv,lực_lượng,an_toàn,đường
vnp_url_189.csv,đường,cấm,tuyến
vnp_url_189.csv,Buổi,mở_đầu,hội
vnp_url_189.csv,Trọng_tâm,là,Lễ
vnp_url_189.csv,Sau,là,phần
vnp_url_189.csv,lực_lượng,có,binh
vnp_url_189.csv,Lực_lượng,gồm,khối
vnp_url_189.csv,Tỉnh,tham_gia,quần_chúng
vnp_url_189.csv,nhánh,di_chuyển,nhánh
vnp_url_189.csv,quân,Hoạt_động,Tổ_quốc
vnp_url_189.csv,Lễ,diễn,truyền_thống
vnp_url_189.csv,Ý_nghĩa,còn,Tổ_quốc
vnp_url_189.csv,ngày_đêm,làm_nên,biểu_tượng
vnp_url_122.csv,chiến_thắng,khẳng_định,lực_lượng
vnp_url_122.csv,buộc,là,nền
vnp_url_122.csv,người_dân,Phát_biểu,địa
vnp_url_122.csv,chiến_thắng,khẳng_định,lực_lượng
vnp_url_122.csv,đập_tan,có,nền
vnp_url_122.csv,Thượng_tướng,nêu,biểu_tượng
vnp_url_122.csv,bức,Triển_lãm,phần
vnp_url_122.csv,Phần,tập_trung,Kế_hoạch
vnp_url_122.csv,Phần,tập_trung,đế_quốc
vnp_url_122.csv,Chiến_thắng,kết_thúc,trận
vnp_url_122.csv,Chiến_thắng,có,sự
vnp_url_122.csv,quốc_gia,là,dân_tộc
vnp_url_315.csv,VietnamPlus,trân_trọng,toàn_văn
vnp_url_315.csv,VietnamPlus,trân_trọng,toàn_văn
vnp_url_315.csv,lãnh_đạo,Kính,đồng_chí
vnp_url_315.csv,Anh_hùng,Kính,bậc
vnp_url_315.csv,khách,Thưa,quý_vị
vnp_url_315.csv,trong,được,thành_trì
vnp_url_315.csv,Nhân_dân,băn_khoăn,thông_tin
vnp_url_315.csv,bạn_bè,biết_ơn,dân_tộc
vnp_url_315.csv,Nhân_dân,Thừa_hưởng,thực_dân
vnp_url_315.csv,dân,hưởng_ứng,nô_lệ
vnp_url_315.csv,Chủ_tịch,nhận_định,Chiến_dịch
vnp_url_315.csv,Chiến_dịch,chỉ_thị,chiến_dịch
vnp_url_315.csv,chúng_ta,đổ,sức_mạnh
vnp_url_315.csv,Trận,Quán_triệt,sự
vnp_url_315.csv,Đây,là,đỉnh_cao
vnp_url_315.csv,tận_lực,là,sức
vnp_url_315.csv,Nhân_dân,để,Tổ_quốc
vnp_url_315.csv,Một,là,kẻ_thù
vnp_url_315.csv,dân,là,tinh_thần
vnp_url_315.csv,Ba,là,tinh_thần
vnp_url_315.csv,nòng_cốt,là,dân_tộc
vnp_url_315.csv,chiến_công,Phát_huy,Đại_thắng
vnp_url_315.csv,chúng_ta,tập_trung,chế_độ
vnp_url_315.csv,Đất_nước,đạt,cơ_đồ
vnp_url_315.csv,ai,ngừng,đời_sống
vnp_url_315.csv,3,Củng_cố,độc_lập
vnp_url_315.csv,lực_lượng,Xây_dựng,Quân_đội
vnp_url_315.csv,giữa,Kết_hợp,kinh_tế
vnp_url_315.csv,4,Thực_hiện,trách_nhiệm
vnp_url_315.csv,cành,Xây_dựng,vị_thế
vnp_url_315.csv,hiệu_quả,Tiếp_tục,hiệu_lực
vnp_url_315.csv,việc,Phát_huy,đội_ngũ
vnp_url_315.csv,tổ_chức,Làm,đồng_thuận
vnp_url_315.csv,quân,Kỷ_niệm,Đại_hội
vnp_url_315.csv,thu_nhập,Thay_mặt,nước
vnp_url_315.csv,thách_thức,tin_tưởng,bản
vnp_url_315.csv,Nhân_dân,Tự_hào,cuộc_sống
vnp_url_315.csv,Đảng_Cộng_sản_Việt_Nam,quang_vinh,muôn_năm
vnp_url_315.csv,hạnh_phúc,xin,quý_vị
vnp_url_315.csv,Kênh_truyền_hình,phát,chính_trị
vnp_url_262.csv,chiến_thắng,khẳng_định,lực_lượng
vnp_url_262.csv,buộc,là,nền
vnp_url_262.csv,người_dân,Phát_biểu,địa
vnp_url_262.csv,chiến_thắng,khẳng_định,lực_lượng
vnp_url_262.csv,đập_tan,có,nền
vnp_url_262.csv,Thượng_tướng,nêu,biểu_tượng
vnp_url_262.csv,bức,Triển_lãm,phần
vnp_url_262.csv,Phần,tập_trung,Kế_hoạch
vnp_url_262.csv,Phần,tập_trung,đế_quốc
vnp_url_262.csv,Chiến_thắng,kết_thúc,trận
vnp_url_262.csv,Chiến_thắng,có,sự
vnp_url_262.csv,quốc_gia,là,dân_tộc
vnp_url_265.csv,Viettel,không_chỉ,cấu
vnp_url_265.csv,Tập_đoàn,Tham_dự,giải_pháp
vnp_url_265.csv,Tổng_công_ty,Theo,sản_phẩm
vnp_url_265.csv,Khả_năng,là,lợi_thế
vnp_url_265.csv,VHT,không_những,cấu
vnp_url_265.csv,VHT,có,cơ_hội
vnp_url_265.csv,Viettel,Trao_đổi,triển_vọng
vnp_url_265.csv,sản_phẩm,Đánh_giá,chủ
vnp_url_265.csv,đối_tác,ký_kết,MoU
vnp_url_265.csv,Ông,nhấn_mạnh,sản_phẩm
vnp_url_265.csv,Viettel,Tham_quan,quốc_gia
vnp_url_265.csv,DSA,thuộc,Top
vnp_url_265.csv,đoàn,là,khách
vnp_url_265.csv,công_ty,tham_gia,sự_kiện
vnp_url_265.csv,Viettel,đầu_tư,châu_Á
vnp_url_265.csv,Brand_Finance,được,thương_hiệu
vnp_url_265.csv,an_ninh,yêu_cầu,phương_án
vnp_url_265.csv,an_ninh,yêu_cầu,phương_án
vnp_url_265.csv,Viettel_High_Tech,nhận,cơ_hội
vnp_url_265.csv,Triển_lãm,giới_thiệu,dấu_ấn
vnp_url_182.csv,chiến_thắng,khẳng_định,lực_lượng
vnp_url_182.csv,buộc,là,nền
vnp_url_182.csv,người_dân,Phát_biểu,địa
vnp_url_182.csv,chiến_thắng,khẳng_định,lực_lượng
vnp_url_182.csv,đập_tan,có,nền
